Entity,Code,Year,"Government expenditure on education, total (% of GDP)",Government expenditure on primary education as % of GDP (%),Annual Working Hours,GDP per Capita,Population,Consumer Price Index,Government Expenditure,Foreign Direct Investment,Unemployment rate,Government health expenditure,Life Expectancy,Government revenues,Age dependency ratio,Research and development spending,Taxes on goods and services (as a share of GDP),"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)",Human Development Index,GDP per capita,Gender Development Index,Productivity
China,CHN,2010,3.7546425,,2172.7102,10116.533,1348191360.0,102.57288054653654,0.2358171114384463,0.008465245185315601,0.04541099274887665,0.02245360169711548,74.44472043876549,0.2724303486945855,0.3659919979147489,0.017269446029586032,13.033634,4. 3287497,0. 691,8884.588,0.952,8.160233
China,CHN,2011,3.521965,,2178.809,10874.707,1357095424.0,106.56306783734026,,0.006958660883838066,0.0456200189226355,0.02428760658621215,74.74370652588544,0.2779533905729805,0.3678281947694107,0.018373630986348227,13.192892,4. 7147803,0. 7,9680.098,0.956,8. 755135
China,CHN,2012,3.9440942,,2184.293,11501.821,1366560768.0,109.3602269126619,,0.00773284231208455,0.045820744418013995,0.026189209106457424,75.03571516748366,0.28316262325373937,0.3714061369446575,0.01953294412010007,13. 073874,4.725958,0.709,10370.727,0.96,9.246322
China,CHN,2013,3.7104764,,2178.325,11899.735,1376100352.0,111.75208325176493,,0.009591221126021688,0.04601392384213767,0.02757179367778888,75.20480362830271,0.2852259187281965,0.378680676034835,0.019954512532373434,12.865465,4.8560376,0. 717,11101. 938,0.963,9. 604797
China,CHN,2014,3.5803342,,2178.6626,12411.439,1385189632.0,113.61279689219447,,0.013450274759722427,0.046180692016869446,0.029018849510076848,75.47936865609654,0.2873598212721219,0.3876140201922363,0.0202571770334928,12.531686,4. 952271,0. 725,11851. 404,0. 967,10. 032687
China,CHN,2015,3.81383,,2170.4592,12784.436,1393715456.0,115.59117906894551,,0.01695565541387804,0.045410238141751165,0.02925357025662454,75.73300134732511,0.28594506480611254,0.3938460504750412,0.020642713957537667,12. 018815,5.16565,0.733,12612.352,0. 971,10.392884
China,CHN,2016,3.7611156,,2167.2278,13147.852,1401889664.0,117.61041837636375,,0.016206433059245826,0.04446245159214435,0.028646637320015676,75.9587242564667,0.2802677334055465,0.4012392443049027,0.020888448707255997,11.4260235,5.2200212,0. 74,13399.138,0. 975,10. 742945
China,CHN,2017,3.6674504,,2168.919,13854.229,1410275968.0,119.82250334053116,,0.0113657535559349,0.043322994832664864,0.0287728543922664,76.06583059173853,0.2791772464437612,0.4104571237087103,0.021095990079452103,11. 220127,5. 3178024,0. 747,14243.532,0. 981,11. 3577385
China,CHN,2018,3.5424945,,2168.919,13819.324,1417069440.0,123.41508501765084,,0.0102267214079851,0.045299751081795035,0.0295586262330901,76.34655818090559,0.2779429302663926,0.422334846860434,0.021792118432026598,11. 119577,5.3720307,0. 755,15133.996,0. 981,11.380233
China,CHN,2019,3.5410547,,2168.919,14128.812,1421864064.0,126.59139826556405,,0.010188843134985349,0.04860546031308257,,76.65949915906904,0.2632985010433757,0.4323878844382113,0.023081325080842166,10.510474,4.813959,0.762,15977.764,0.984,11. 692401
China,CHN,2020,3.5729563,,,,,128.18313536614505,,0.0095946369605561,0.0487546569218924,,76.7770716626235,0.2475076222183283,0.4345435931229923,0.0237399806856591,9.7524,4. 6777844,0. 764,16296. 779,0. 984,
China,CHN,2021,3.2978435,,,,,,,0.0076815320626984,,,76.87567264459508,,,,9.64492,4.8938923,0.768,17602.695,0.984,
,,1970,,,1976.312,1292.507,822534464.0,,,,,,,,0.801329449111259,,,,,,,1. 4994909
,,1989,,,1973.9873,2507.4414,1134414720.0,39.59040981989963,0.21132080100142123,0.0022788664961957,,,67.1835933728099,,0.5156544383335322,,9. 170754,4. 6433463,,,,2.2952845
,,1990,,,1975.354,2427.055,1153704192.0,40.8562436378148,0.19884756923754524,0.00238227816482145,,,67.33954182673396,,0.5146764222142712,,8.645571,4. 4651213,0. 484,1423.8964,0. 873,2. 189328
,,1991,,,1976.8881,2519.9937,1170626176.0,42.84279724069928,0.18049293954342752,0.005940607928724178,0.0237484859976327,,67.49467539650952,,0.5131120686811244,,7.9783025,3.277696,0. 492,1534.7053,0.875,2. 25109
,,1997,,,2037.3639,3757.72,1237801472.0,81.86571855879087,0.1480942475080169,0.0041551902107853506,0.032393265227167366,,69.92272457756,,0.4786895022478786,0.006534945056552934,6.6422515,2. 0197482,0.554,2812.7112,0.891,3.2628345
,,2000,,,2090.4753,4199.84,1264099072.0,80.93707335591131,0.18289315172685627,0.005562048820699883,0.03666781275017902,0.009748669039635949,71.05261237974997,0.08150883285279636,0.4470523705867665,0.009266852494037366,8.487062,2.6252778,0.584,3451.6792,0. 901,3.524101
,,2001,,,2103.5151,4540.0283,1272739584.0,80.80069044932834,0.19049870186794346,0.005838871082155981,0.041726987287140825,0.01049337284921846,71.74582413884882,0.0875653503671726,0.4361987086771662,0.010155388993752033,8.850572,3.5420403,0.593,3712.3381,0. 907,3. 775427
,,2002,,,2118.2014,4940.1445,1280926080.0,81.03317580840775,0.19088530653907435,0.0046958114685186,0.04503620454322005,0.0118718834200146,71.98468705488537,0.0915193462573872,0.4242668234738705,0.010956008662189232,9. 157096,3.8903232,0.604,4024.3557,0. 914,4. 0724883
,,2003,,,2138.0823,5365.0444,1288873344.0,83.93690957671174,0.18581410944185658,0.00478483948360605,0.045102358434554034,0.0127190892450538,72.36391376550546,0.09489214136281322,0.4064519359222881,0.0117458188841578,9. 471609,3.4707358,0.615,4400.825,0.92,4.3798833
,,2004,,,2167.896,5952.99,1296816768.0,85.46143476404248,0.18746490142354744,0.005083478506589475,0.045060100435526995,0.013312803953285626,72.77105025821254,0.16905741487062664,0.3885541081173445,0.0126458854601056,9.513149,3. 6751125,0.626,4817.212,0.927,4. 7892036
,,2005,,,2192.3545,6588.563,1304887552.0,87.0037442741429,0.19051937724661872,0.007204882287950881,0.04442773966437217,0.01376153121900712,73.0099131742491,0.253405740804374,0.3791104305148845,0.013360029556794365,12.315503,3. 9640415,0.638,5334.6465,0.933,5. 240103
,,2006,,,2183.0583,7144.8,1313086592.0,89.93953610485799,0.19117625644621408,0.0072176910764515404,0.0436791693958929,0.014077748175070449,73.3856511621083,0.296376431212422,0.3726526020334272,0.013643957684034902,10.808319,4. 0141163,0.65,5979.7817,0.939,5. 70952
